,track_id,track_name,track_name_translation_list,track_rating,commontrack_id,instrumental,explicit,has_lyrics,has_subtitles,has_richsync,num_favourite,album_id,album_name,artist_id,artist_name,track_share_url,track_edit_url,restricted,updated_time,primary_genres,country
686,218594176,Ride the Lightning (717 Tapes),[],97,129319919,0,0,1,1,0,0,45296116,Ride the Lightning (717 Tapes) - Single,47164815,Warren Zeiders,https://www.musixmatch.com/lyrics/Warren-Zeiders/Ride-the-Lightning-717-Tapes?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,https://www.musixmatch.com/lyrics/Warren-Zeiders/Ride-the-Lightning-717-Tapes/edit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,0,2021-06-29T23:06:52Z,"{'music_genre_list': [{'music_genre': {'music_genre_id': 10, 'music_genre_parent_id': 34, 'music_genre_name': 'Singer/Songwriter', 'music_genre_name_extended': 'Singer/Songwriter', 'music_genre_vanity': 'Singer-Songwriter'}}]}",GL
687,216653039,Thot Shit,[],100,127616116,0,1,1,1,1,24,44569300,Thot Shit - Single,33909962,Megan Thee Stallion,https://www.musixmatch.com/lyrics/Megan-Thee-Stallion/Thot-Shit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,https://www.musixmatch.com/lyrics/Megan-Thee-Stallion/Thot-Shit/edit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,0,2021-06-12T01:25:55Z,"{'music_genre_list': [{'music_genre': {'music_genre_id': 34, 'music_genre_parent_id': 0, 'music_genre_name': 'Music', 'music_genre_name_extended': 'Music', 'music_genre_vanity': 'Music'}}]}",GL
688,203205447,Levitating (feat. DaBaby),[],100,116305023,0,1,1,1,1,587,40235456,Levitating (feat. DaBaby),46525842,Dua Lipa feat. DaBaby,https://www.musixmatch.com/lyrics/Dua-Lipa-DaBaby/Levitating-DaBaby?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,https://www.musixmatch.com/lyrics/Dua-Lipa-DaBaby/Levitating-DaBaby/edit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,0,2021-04-24T02:42:00Z,"{'music_genre_list': [{'music_genre': {'music_genre_id': 34, 'music_genre_parent_id': 0, 'music_genre_name': 'Music', 'music_genre_name_extended': 'Music', 'music_genre_vanity': 'Music'}}]}",GL
689,215791500,Leave Before You Love Me (with Jonas Brothers),[],100,126904069,0,0,1,1,1,82,44253824,Leave Before You Love Me - Single,49222748,Marshmello feat. Jonas Brothers,https://www.musixmatch.com/lyrics/Marshmello-Jonas-Brothers/Leave-Before-You-Love-Me-with-Jonas-Brothers?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,https://www.musixmatch.com/lyrics/Marshmello-Jonas-Brothers/Leave-Before-You-Love-Me-with-Jonas-Brothers/edit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,0,2021-05-21T12:08:38Z,"{'music_genre_list': [{'music_genre': {'music_genre_id': 34, 'music_genre_parent_id': 0, 'music_genre_name': 'Music', 'music_genre_name_extended': 'Music', 'music_genre_vanity': 'Music'}}]}",GL
690,217955481,Bad Habits,[],100,128751060,0,0,1,1,1,82,45063570,Bad Habits,49581672,Ed Sheeran,https://www.musixmatch.com/lyrics/Ed-Sheeran-1/Bad-Habits?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,https://www.musixmatch.com/lyrics/Ed-Sheeran-1/Bad-Habits/edit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,0,2021-06-26T06:14:08Z,{'music_genre_list': []},DE
691,213945984,Higher Power,[],99,126150589,0,0,1,1,1,46,43823691,Higher Power - Single,1039,Coldplay,https://www.musixmatch.com/lyrics/Coldplay/Higher-Power?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,https://www.musixmatch.com/lyrics/Coldplay/Higher-Power/edit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,0,2021-05-08T06:55:51Z,"{'music_genre_list': [{'music_genre': {'music_genre_id': 34, 'music_genre_parent_id': 0, 'music_genre_name': 'Music', 'music_genre_name_extended': 'Music', 'music_genre_vanity': 'Music'}}]}",DE
692,218083984,Iko Iko (My Bestie) (feat. Small Jam),[],97,128861332,0,0,1,1,1,0,45105725,Iko Iko (My Bestie) (feat. Small Jam),49782127,Justin Wellington feat. Digital Farm Animals & Small Jam,https://www.musixmatch.com/lyrics/Justin-Wellington-Digital-Farm-Animals-Small-Jam/Iko-Iko-My-Bestie-Small-Jam?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,https://www.musixmatch.com/lyrics/Justin-Wellington-Digital-Farm-Animals-Small-Jam/Iko-Iko-My-Bestie-Small-Jam/edit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,0,2021-06-28T08:24:19Z,{'music_genre_list': []},DE
693,215216571,We Are the People (feat. Bono & The Edge),[],97,126470425,0,0,1,1,1,47,44164527,We Are the People (feat. Bono & The Edge) - Single,49144579,Martin Garrix feat. Bono & The Edge,https://www.musixmatch.com/lyrics/Martin-Garrix-Bono-The-Edge/We-Are-The-People-Bono-The-Edge-Official-UEFA-EURO-2020-Song?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,https://www.musixmatch.com/lyrics/Martin-Garrix-Bono-The-Edge/We-Are-The-People-Bono-The-Edge-Official-UEFA-EURO-2020-Song/edit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,0,2021-05-19T10:10:13Z,{'music_genre_list': []},DE
694,212970759,Drei Uhr Nachts,[],79,124889786,0,0,1,1,1,8,43577114,Drei Uhr Nachts - Single,48538442,Mark Forster feat. LEA,https://www.musixmatch.com/lyrics/Mark-Forster-LEA/Drei-Uhr-Nachts?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,https://www.musixmatch.com/lyrics/Mark-Forster-LEA/Drei-Uhr-Nachts/edit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,0,2021-04-09T12:34:37Z,"{'music_genre_list': [{'music_genre': {'music_genre_id': 34, 'music_genre_parent_id': 0, 'music_genre_name': 'Music', 'music_genre_name_extended': 'Music', 'music_genre_vanity': 'Music'}}]}",DE
695,207040389,Cover Me In Sunshine,[],96,119528672,0,0,1,1,1,79,41482351,Cover Me In Sunshine - Single,47299831,P!nk feat. Willow Sage Hart,https://www.musixmatch.com/lyrics/P-nk-Willow-Sage-Hart/Cover-Me-In-Sunshine?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,https://www.musixmatch.com/lyrics/P-nk-Willow-Sage-Hart/Cover-Me-In-Sunshine/edit?utm_source=application&utm_campaign=api&utm_medium=beatrice%3A1409621979589,0,2021-05-20T22:50:18Z,"{'music_genre_list': [{'music_genre': {'music_genre_id': 14, 'music_genre_parent_id': 34, 'music_genre_name': 'Pop', 'music_genre_name_extended': 'Pop', 'music_genre_vanity': 'Pop'}}]}",DE
